VIA DELL'AEROPORTO 22,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 24,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 26,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 26/2 ,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 28,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 30,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 30/2 ,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 30/3 ,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA DELL'AEROPORTO 36,7,Ex uffici quartiere Borgo Panigale                          ,via Marco Emilio Lepido 177, 
VIA AUGUSTO AGLEBERT 2,161,Centro Sociale della Pace  - Sala da ballo                  ,via del Pratello 53, 
VIA AUGUSTO AGLEBERT 3,152,Sede Quartiere Saragozza - Punto lettura                    ,via Pietralata 60, 
VIA AUGUSTO AGLEBERT 5,152,Sede Quartiere Saragozza - Punto lettura                    ,via Pietralata 60, 
VIA AUGUSTO AGLEBERT 6,161,Centro Sociale della Pace  - Sala da ballo                  ,via del Pratello 53, 
VIA AUGUSTO AGLEBERT 7,152,Sede Quartiere Saragozza - Punto lettura                    ,via Pietralata 60, 
VIA AUGUSTO AGLEBERT 7/2 ,152,Sede Quartiere Saragozza - Punto lettura                    ,via Pietralata 60, 
VIA AUGUSTO AGLEBERT 8,161,Centro Sociale della Pace  - Sala da ballo                  ,via del Pratello 53, 
VIA AUGUSTO AGLEBERT 9,152,Sede Quartiere Saragozza - Punto lettura                    ,via Pietralata 60, 
VIA AUGUSTO AGLEBERT 10,161,Centro Sociale della Pace  - Sala da ballo                  ,via del Pratello 53, 
